NOMBRE;DEPORTE;TIPO;FECHA;PAIS;LUGAR;;
ACTIVIDADES SUBACUATICAS;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/01/2018 0:00;Colombia;SANTA MARTA;;
BILLAR;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/01/2018 0:00;Colombia;COLOMBIA/ Pendiente;;
BILLAR;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/01/2018 0:00;Egipto;Egypto/ Cairo;;
BILLAR;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/01/2018 0:00;Colombia;Colombia/ Pendiente;;
CANOTAJE;RESERVA DEPORTIVA;RESERVA DEPORTIVA;10/01/2018 0:00;Colombia;Neusa, Cundinamarca;;
ESGRIMA;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/01/2018 0:00;;CIRCUITO EUROPEO;;
GIMNASIA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/01/2018 0:00;;POR DEFINIR;;
MOTONAUTICA;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/01/2018 0:00;;MONACO;;
MOTONAUTICA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/01/2018 0:00;Colombia;CUNDINAMARCA;;
MOTONAUTICA;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/01/2018 0:00;USA;LAS VEGAS;;
SOFTBOL;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/01/2018 0:00;;COLOMBIA;;
SURF;NACIONAL;NACIONAL;10/01/2018 0:00;Colombia;CARTAGENA;;
TAEKWONDO;CALENDARIO INTERNACIONAL.;CALENDARIO INTERNACIONAL.;10/01/2018 0:00;;SPOKANE - USA;;
ATLETISMO;CALENDARIO UNICO;CALENDARIO UNICO;09/29/2018 12:00:00 AM;Colombia;SANTA MARTA;;
ATLETISMO;CALENDARIO UNICO;CALENDARIO UNICO;09/29/2018 12:00:00 AM;Ecuador;CUENCA -ECUADOR;;
AUTOMOVILISMO;NACIONAL;NACIONAL;09/29/2018 12:00:00 AM;Colombia;Tocancipa;;
SQUASH;;;09/16/2017 12:00:00 AM;COLOMBIA;;;
VELA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;09/29/2018 12:00:00 AM;;TOMINÃ‰ - MUÃ‘A;;
KARATE DO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;09/27/2018 12:00:00 AM;Colombia;CHIA - CMARCA;;
TEJO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;09/27/2018 12:00:00 AM;Colombia;MALAGA NORTE S/DER;;
JIUJITSU;CALENDARIO NACIONAL;CALENDARIO NACIONAL;09/25/2018 12:00:00 AM;Colombia;CARTAGENA;;
AUTOMOVILISMO;NACIONAL;NACIONAL;09/23/2018 12:00:00 AM;Colombia;Cajica;;
ESQUI;;;05/28/2016 12:00:00 AM;COLOMBIA;CALI;;
AUTOMOVILISMO;NACIONAL;NACIONAL;09/23/2018 12:00:00 AM;Colombia;Chia;;
ESQUI;CALENDARIO UNICO;CALENDARIO UNICO;09/23/2018 12:00:00 AM;Colombia;CUNDINAMARCA;;
ACTIVIDADES SUBACUATICAS;CALENDARIO NACIONAL;CALENDARIO NACIONAL;09/22/2018 12:00:00 AM;Colombia;Medellin;;
ACTIVIDADES SUBACUATICAS;CALENDARIO NACIONAL;CALENDARIO NACIONAL;09/22/2018 12:00:00 AM;Colombia;Cartagena;;
AUTOMOVILISMO;NACIONAL;NACIONAL;09/22/2018 12:00:00 AM;Colombia;Cali;;
BALONMAMO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;09/21/2018 12:00:00 AM;Colombia;CARTAGENA;;
SQUASH;INTERNACIONAL;INTERNACIONAL;09/21/2018 12:00:00 AM;Colombia;BOGOTA;;
